datetime,city,junction_id,junction_name,vehicle_count
2026-03-02 00:00:00.072684,Pune,1,Hinjewadi,31
2026-03-02 00:00:00.072684,Pune,2,Baner,44
2026-03-02 00:00:00.072684,Pune,3,Viman Nagar,19
2026-03-02 00:00:00.072684,Pune,4,Undri,34
2026-03-02 01:00:00.072684,Pune,1,Hinjewadi,26
2026-03-02 01:00:00.072684,Pune,2,Baner,36
2026-03-02 01:00:00.072684,Pune,3,Viman Nagar,38
2026-03-02 01:00:00.072684,Pune,4,Undri,15
2026-03-02 02:00:00.072684,Pune,4,Undri,38
2026-03-02 02:00:00.072684,Pune,3,Viman Nagar,18
2026-03-02 02:00:00.072684,Pune,1,Hinjewadi,24
2026-03-02 02:00:00.072684,Pune,2,Baner,22
2026-03-02 03:00:00.072684,Pune,1,Hinjewadi,10
2026-03-02 03:00:00.072684,Pune,2,Baner,23
2026-03-02 03:00:00.072684,Pune,3,Viman Nagar,19
2026-03-02 03:00:00.072684,Pune,4,Undri,39
2026-03-02 04:00:00.072684,Pune,4,Undri,34
2026-03-02 04:00:00.072684,Pune,1,Hinjewadi,22
2026-03-02 04:00:00.072684,Pune,2,Baner,43
2026-03-02 04:00:00.072684,Pune,3,Viman Nagar,11
2026-03-02 05:00:00.072684,Pune,4,Undri,37
2026-03-02 05:00:00.072684,Pune,3,Viman Nagar,26
2026-03-02 05:00:00.072684,Pune,1,Hinjewadi,43
2026-03-02 05:00:00.072684,Pune,2,Baner,51
2026-03-02 06:00:00.072684,Pune,1,Hinjewadi,74
2026-03-02 06:00:00.072684,Pune,2,Baner,67
2026-03-02 06:00:00.072684,Pune,3,Viman Nagar,68
2026-03-02 06:00:00.072684,Pune,4,Undri,94
2026-03-02 07:00:00.072684,Pune,4,Undri,303
2026-03-02 07:00:00.072684,Pune,1,Hinjewadi,302
2026-03-02 07:00:00.072684,Pune,2,Baner,290
2026-03-02 07:00:00.072684,Pune,3,Viman Nagar,293
2026-03-02 08:00:00.072684,Pune,4,Undri,424
2026-03-02 08:00:00.072684,Pune,3,Viman Nagar,406
2026-03-02 08:00:00.072684,Pune,2,Baner,403
2026-03-02 08:00:00.072684,Pune,1,Hinjewadi,435
2026-03-02 09:00:00.072684,Pune,4,Undri,384
2026-03-02 09:00:00.072684,Pune,1,Hinjewadi,377
2026-03-02 09:00:00.072684,Pune,2,Baner,385
2026-03-02 09:00:00.072684,Pune,3,Viman Nagar,387
2026-03-02 10:00:00.072684,Pune,3,Viman Nagar,265
2026-03-02 10:00:00.072684,Pune,4,Undri,262
2026-03-02 10:00:00.072684,Pune,1,Hinjewadi,275
2026-03-02 10:00:00.072684,Pune,2,Baner,274
2026-03-02 11:00:00.072684,Pune,4,Undri,297
2026-03-02 11:00:00.072684,Pune,3,Viman Nagar,300
2026-03-02 11:00:00.072684,Pune,2,Baner,313
2026-03-02 11:00:00.072684,Pune,1,Hinjewadi,313
2026-03-02 12:00:00.072684,Pune,1,Hinjewadi,346
2026-03-02 12:00:00.072684,Pune,2,Baner,338
2026-03-02 12:00:00.072684,Pune,3,Viman Nagar,334
2026-03-02 12:00:00.072684,Pune,4,Undri,320
2026-03-02 13:00:00.072684,Pune,1,Hinjewadi,301
2026-03-02 13:00:00.072684,Pune,2,Baner,304
2026-03-02 13:00:00.072684,Pune,3,Viman Nagar,329
2026-03-02 13:00:00.072684,Pune,4,Undri,339
2026-03-02 14:00:00.072684,Pune,4,Undri,314
2026-03-02 14:00:00.072684,Pune,3,Viman Nagar,310
2026-03-02 14:00:00.072684,Pune,2,Baner,314
2026-03-02 14:00:00.072684,Pune,1,Hinjewadi,320
2026-03-02 15:00:00.072684,Pune,1,Hinjewadi,335
2026-03-02 15:00:00.072684,Pune,2,Baner,311
2026-03-02 15:00:00.072684,Pune,3,Viman Nagar,334
2026-03-02 15:00:00.072684,Pune,4,Undri,331
