datetime,city,junction_id,junction_name,vehicle_count
2026-03-02 00:00:00.753854,Mumbai,1,Bandra,28
2026-03-02 00:00:00.753854,Mumbai,2,Dadar,36
2026-03-02 00:00:00.753854,Mumbai,3,Andheri,41
2026-03-02 00:00:00.753854,Mumbai,4,Virar,48
2026-03-02 01:00:00.753854,Mumbai,1,Bandra,43
2026-03-02 01:00:00.753854,Mumbai,2,Dadar,30
2026-03-02 01:00:00.753854,Mumbai,3,Andheri,35
2026-03-02 01:00:00.753854,Mumbai,4,Virar,20
2026-03-02 02:00:00.753854,Mumbai,4,Virar,29
2026-03-02 02:00:00.753854,Mumbai,3,Andheri,27
2026-03-02 02:00:00.753854,Mumbai,1,Bandra,29
2026-03-02 02:00:00.753854,Mumbai,2,Dadar,32
2026-03-02 03:00:00.753854,Mumbai,1,Bandra,10
2026-03-02 03:00:00.753854,Mumbai,2,Dadar,34
2026-03-02 03:00:00.753854,Mumbai,3,Andheri,35
2026-03-02 03:00:00.753854,Mumbai,4,Virar,31
2026-03-02 04:00:00.753854,Mumbai,4,Virar,25
2026-03-02 04:00:00.753854,Mumbai,1,Bandra,24
2026-03-02 04:00:00.753854,Mumbai,2,Dadar,16
2026-03-02 04:00:00.753854,Mumbai,3,Andheri,14
2026-03-02 05:00:00.753854,Mumbai,4,Virar,44
2026-03-02 05:00:00.753854,Mumbai,3,Andheri,20
2026-03-02 05:00:00.753854,Mumbai,1,Bandra,43
2026-03-02 05:00:00.753854,Mumbai,2,Dadar,46
2026-03-02 06:00:00.753854,Mumbai,1,Bandra,84
2026-03-02 06:00:00.753854,Mumbai,2,Dadar,99
2026-03-02 06:00:00.753854,Mumbai,3,Andheri,100
2026-03-02 06:00:00.753854,Mumbai,4,Virar,72
2026-03-02 07:00:00.753854,Mumbai,4,Virar,308
2026-03-02 07:00:00.753854,Mumbai,1,Bandra,292
2026-03-02 07:00:00.753854,Mumbai,2,Dadar,302
2026-03-02 07:00:00.753854,Mumbai,3,Andheri,281
2026-03-02 08:00:00.753854,Mumbai,4,Virar,425
2026-03-02 08:00:00.753854,Mumbai,3,Andheri,417
2026-03-02 08:00:00.753854,Mumbai,2,Dadar,417
2026-03-02 08:00:00.753854,Mumbai,1,Bandra,415
2026-03-02 09:00:00.753854,Mumbai,4,Virar,389
2026-03-02 09:00:00.753854,Mumbai,1,Bandra,388
2026-03-02 09:00:00.753854,Mumbai,2,Dadar,389
2026-03-02 09:00:00.753854,Mumbai,3,Andheri,397
